"","Week.ended","signal","Wales","fit","upr","lwr"
"13",2010-04-02,565.383733985332,501,NA,NA,NA
"14",2010-04-09,581.680458192208,608,NA,NA,NA
"15",2010-04-16,614.677175013522,639,NA,NA,NA
"16",2010-04-23,587.871132506261,557,NA,NA,NA
"17",2010-04-30,599.014731710207,616,NA,NA,NA
"18",2010-05-07,596.880420891184,555,NA,NA,NA
"19",2010-05-14,550.283317490994,565,NA,NA,NA
"20",2010-05-21,570.932409024829,591,NA,NA,NA
"21",2010-05-28,578.199099606288,563,NA,NA,NA
"22",2010-06-04,550.467251403095,541,NA,NA,NA
"23",2010-06-11,541.070636941766,591,NA,NA,NA
"24",2010-06-18,555.241690692303,525,NA,NA,NA
"25",2010-06-25,545.700205992361,510,NA,NA,NA
"26",2010-07-02,541.085408798001,592,NA,NA,NA
"27",2010-07-09,544.540952876112,555,NA,NA,NA
"28",2010-07-16,542.263287487037,573,NA,NA,NA
"29",2010-07-23,548.149259226401,528,NA,NA,NA
"30",2010-07-30,534.92569961392,552,NA,NA,NA
"31",2010-08-06,537.515434836463,538,NA,NA,NA
"32",2010-08-13,529.457301710335,510,NA,NA,NA
"33",2010-08-20,528.92128138235,526,NA,NA,NA
"34",2010-08-27,528.373843326233,511,NA,NA,NA
"35",2010-09-03,519.142701142349,514,NA,NA,NA
"36",2010-09-10,519.219586835602,531,NA,NA,NA
"37",2010-09-17,526.232730338506,508,NA,NA,NA
"38",2010-09-24,545.747015893398,567,NA,NA,NA
"39",2010-10-01,570.461800019051,579,NA,NA,NA
"40",2010-10-08,562.733127857665,580,NA,NA,NA
"41",2010-10-15,566.798727100256,562,NA,NA,NA
"42",2010-10-22,577.43837433324,599,NA,NA,NA
"43",2010-10-29,585.648030611683,531,NA,NA,NA
"44",2010-11-05,595.956157890656,572,NA,NA,NA
"45",2010-11-12,584.230822851037,564,NA,NA,NA
"46",2010-11-19,596.304013819688,597,NA,NA,NA
"47",2010-11-26,628.708450961913,605,NA,NA,NA
"48",2010-12-03,641.554955760608,651,NA,NA,NA
"49",2010-12-10,666.168420578645,695,NA,NA,NA
"50",2010-12-17,694.233723373938,690,NA,NA,NA
"51",2010-12-24,718.917259591416,751,NA,NA,NA
"52",2010-12-31,693.48146396336,776.5,NA,NA,NA
"53",2011-01-07,677.248662993609,776.5,NA,NA,NA
"54",2011-01-14,720.748029261547,772,NA,NA,NA
"55",2011-01-21,749.911681088601,638,NA,NA,NA
"56",2011-01-28,695.721571141311,656,NA,NA,NA
"57",2011-02-04,690.909949515348,687,NA,NA,NA
"58",2011-02-11,654.939122378628,679,NA,NA,NA
"59",2011-02-18,626.682321787693,609,NA,NA,NA
"60",2011-02-25,631.535926846032,580,NA,NA,NA
"61",2011-03-04,614.844206379534,590,NA,NA,NA
"62",2011-03-11,608.424932343683,630,NA,NA,NA
"63",2011-03-18,609.998847376933,593,NA,NA,NA
"64",2011-03-25,625.472960498311,633,NA,NA,NA
"65",2011-04-01,566.203506028781,574,NA,NA,NA
"66",2011-04-08,576.263865586615,566,NA,NA,NA
"67",2011-04-15,606.638153370266,573,NA,NA,NA
"68",2011-04-22,582.935426327372,535,NA,NA,NA
"69",2011-04-29,598.868057650187,565,NA,NA,NA
"70",2011-05-06,606.546385515445,654,NA,NA,NA
"71",2011-05-13,560.936951373586,616,NA,NA,NA
"72",2011-05-20,578.588048180718,577,NA,NA,NA
"73",2011-05-27,584.996022224873,583,NA,NA,NA
"74",2011-06-03,555.10117570947,544,NA,NA,NA
"75",2011-06-10,543.702972100842,601,NA,NA,NA
"76",2011-06-17,555.144613129464,512,NA,NA,NA
"77",2011-06-24,544.148346317703,544,NA,NA,NA
"78",2011-07-01,534.566734074192,526,NA,NA,NA
"79",2011-07-08,538.931396892217,579,NA,NA,NA
"80",2011-07-15,534.637834876007,538,NA,NA,NA
"81",2011-07-22,541.212137360716,529,NA,NA,NA
"82",2011-07-29,527.892830426356,526,NA,NA,NA
"83",2011-08-05,532.260509007327,547,NA,NA,NA
"84",2011-08-12,524.572129359007,515,NA,NA,NA
"85",2011-08-19,523.429343946739,491,NA,NA,NA
"86",2011-08-26,525.190130024664,563,NA,NA,NA
"87",2011-09-02,512.815822919706,471,NA,NA,NA
"88",2011-09-09,513.37234184578,580,NA,NA,NA
"89",2011-09-16,515.446967950594,505,NA,NA,NA
"90",2011-09-23,529.253610267035,506,NA,NA,NA
"91",2011-09-30,552.657388258433,544,NA,NA,NA
"92",2011-10-07,545.316396693283,567,NA,NA,NA
"93",2011-10-14,549.333364466677,511,NA,NA,NA
"94",2011-10-21,563.237139451788,557,NA,NA,NA
"95",2011-10-28,577.457057710132,604,NA,NA,NA
"96",2011-11-04,585.754899699358,617,NA,NA,NA
"97",2011-11-11,566.566157121974,571,NA,NA,NA
"98",2011-11-18,568.739412078076,554,NA,NA,NA
"99",2011-11-25,592.768717467796,599,NA,NA,NA
"100",2011-12-02,594.282458167082,591,NA,NA,NA
"101",2011-12-09,608.820460418471,602,NA,NA,NA
"102",2011-12-16,630.332230001769,623,NA,NA,NA
"103",2011-12-23,648.768322686756,680,NA,NA,NA
"104",2011-12-30,617.169156810979,607,NA,NA,NA
"105",2012-01-06,603.978643177389,607,NA,NA,NA
"106",2012-01-13,660.02649035497,707,NA,NA,NA
"107",2012-01-20,702.161275982928,635,NA,NA,NA
"108",2012-01-27,656.521577597863,644,NA,NA,NA
"109",2012-02-03,657.57338367184,586,NA,NA,NA
"110",2012-02-10,634.150197426313,622,NA,NA,NA
"111",2012-02-17,622.018192042198,628,NA,NA,NA
"112",2012-02-24,640.658902975205,630,NA,NA,NA
"113",2012-03-02,633.716202738116,668,NA,NA,NA
"114",2012-03-09,631.20491844247,679,NA,NA,NA
"115",2012-03-16,634.096647813537,610,NA,NA,NA
"116",2012-03-23,651.589739969716,637,NA,NA,NA
"117",2012-03-30,596.52409702145,593,NA,NA,NA
"118",2012-04-06,611.906586208242,596,NA,NA,NA
"119",2012-04-13,648.160426519699,662,NA,NA,NA
"120",2012-04-20,625.647108028604,644,NA,NA,NA
"121",2012-04-27,636.220777175038,655,NA,NA,NA
"122",2012-05-04,633.339318356228,609,NA,NA,NA
"123",2012-05-11,584.262248183236,590,NA,NA,NA
"124",2012-05-18,603.318367341232,636,NA,NA,NA
"125",2012-05-25,607.74599236717,603,NA,NA,NA
"126",2012-06-01,576.142455919876,605,NA,NA,NA
"127",2012-06-08,559.088192500003,489,NA,NA,NA
"128",2012-06-15,577.457674921581,630,NA,NA,NA
"129",2012-06-22,563.936700979743,559,NA,NA,NA
"130",2012-06-29,552.303404942839,509,NA,NA,NA
"131",2012-07-06,558.047887504572,573,NA,NA,NA
"132",2012-07-13,557.615307767814,572,NA,NA,NA
"133",2012-07-20,566.961719021255,567,NA,NA,NA
"134",2012-07-27,555.20434864247,558,NA,NA,NA
"135",2012-08-03,560.67080650393,576,NA,NA,NA
"136",2012-08-10,554.022951669692,548,NA,NA,NA
"137",2012-08-17,553.570081312707,604,NA,NA,NA
"138",2012-08-24,547.83543118168,553,NA,NA,NA
"139",2012-08-31,531.190592949014,478,NA,NA,NA
"140",2012-09-07,528.600250995947,534,NA,NA,NA
"141",2012-09-14,533.57648838559,511,NA,NA,NA
"142",2012-09-21,551.482971156068,538,NA,NA,NA
"143",2012-09-28,578.021385342415,615,NA,NA,NA
"144",2012-10-05,569.306822895676,561,NA,NA,NA
"145",2012-10-12,574.912859874142,613,NA,NA,NA
"146",2012-10-19,582.856413206607,543,NA,NA,NA
"147",2012-10-26,594.437229940385,574,NA,NA,NA
"148",2012-11-02,604.736962853382,609,NA,NA,NA
"149",2012-11-09,590.215566548134,609,NA,NA,NA
"150",2012-11-16,595.638527539637,586,NA,NA,NA
"151",2012-11-23,622.413641990803,608,NA,NA,NA
"152",2012-11-30,628.712625288266,629,NA,NA,NA
"153",2012-12-07,647.683219931459,668,NA,NA,NA
"154",2012-12-14,670.94679717994,650,NA,NA,NA
"155",2012-12-21,692.479628816262,744,NA,NA,NA
"156",2012-12-28,661.972959025743,638.5,NA,NA,NA
"157",2013-01-04,651.189173475332,638.5,NA,NA,NA
"158",2013-01-11,711.195732243406,755,NA,NA,NA
"159",2013-01-18,757.602306808595,647,NA,NA,NA
"160",2013-01-25,720.525771496676,738,NA,NA,NA
"161",2013-02-01,727.177569097408,749,NA,NA,NA
"162",2013-02-08,700.128157241294,682,NA,NA,NA
"163",2013-02-15,684.96046614972,697,NA,NA,NA
"164",2013-02-22,699.967071684866,688,NA,NA,NA
"165",2013-03-01,689.519495058973,642,NA,NA,NA
"166",2013-03-08,691.584370349643,719,NA,NA,NA
"167",2013-03-15,701.065467814198,720,NA,NA,NA
"168",2013-03-22,720.897041531543,729,NA,NA,NA
"169",2013-03-29,665.928154814706,617,NA,NA,NA
"170",2013-04-05,685.89269433337,736,NA,NA,NA
"171",2013-04-12,720.207323790709,792,NA,NA,NA
"172",2013-04-19,690.029827946763,770,NA,NA,NA
"173",2013-04-26,686.852383103649,708,NA,NA,NA
"174",2013-05-03,669.985845657057,657,NA,NA,NA
"175",2013-05-10,605.802130489923,547,NA,NA,NA
"176",2013-05-17,616.127254043349,603,NA,NA,NA
"177",2013-05-24,616.349169072636,606,NA,NA,NA
"178",2013-05-31,581.093439134533,557,NA,NA,NA
"179",2013-06-07,565.61780836954,603,NA,NA,NA
"180",2013-06-14,574.949333137975,556,NA,NA,NA
"181",2013-06-21,559.45279042218,583,NA,NA,NA
"182",2013-06-28,543.030108472702,533,NA,NA,NA
"183",2013-07-05,540.698262773241,520,NA,NA,NA
